Query,Grouped_Intent,answer
what is the gpa requirement to avoid probation?,general_info,A CGPA of 2.0 is required to stay off probation.
who do i contact for lms technical issues?,general_info,Email lms.support@university.edu.pk or visit IT support in Block D.
where can i find my class timetable?,general_info,Class timetables are available on LMS and department notice boards.
are mental health counseling services available in summer?,general_info,"Yes, the counseling center is open during summer with prior appointments."
where can i see my attendance record?,general_info,You can view your attendance under the academics tab in your portal.
how can i access the student portal?,general_info,Go to portal.university.edu.pk and enter your credentials.
where is the student affairs office located?,general_info,"It is located in Block C, next to the IT helpdesk."
where is the finance department located?,general_info,The finance department is on the ground floor of the admin block.
are there any additional charges apart from the tuition fee?,general_info,"Yes, charges like registration fee, security deposit, and library fund are included."
where can i find the merit list for selected students?,general_info,Merit lists are available on the university website and displayed on notice boards.
can i apply for multiple programs at once?,general_info,"Yes, you may apply for up to three programs by filling separate forms."
i forgot my student portal password. how do i recover it?,general_info,Use the 'Forgot Password' option on the login screen to reset it.
can summer internships be converted into job offers?,general_info,"Yes, based on performance, some internships lead to full-time job opportunities."
do i need to renew my lms access for summer classes?,general_info,"No, if you are registered, your LMS access continues automatically."
are group projects allowed in online summer courses?,general_info,"Yes, group work is encouraged and often managed via online collaboration tools."
are guest lectures arranged in summer?,general_info,"Yes, some departments host guest speakers or seminars during summer."
can i borrow books from the library in summer?,general_info,"Yes, you can borrow books with a valid student ID as usual."
are student societies active in summer semester?,general_info,Some societies remain active during summer and may host events or workshops.
how can i access exam results for summer semester?,general_info,Results are published on the student portal or LMS under the result section.
what if i get a low grade in a summer course?,general_info,It will still count toward your CGPA. You may be able to improve it in the next semester.
what kind of support is available for summer project work?,general_info,You can get support from faculty mentors or the department project coordinator.
are there industrial visits organized in summer?,general_info,Some departments organize visits for students enrolled in summer projects or internships.
how to update my summer course registration?,general_info,You can update it through the student portal before the deadline or by contacting the registrar.
are there any writing workshops during the summer semester?,general_info,"Yes, academic writing and research paper workshops are often held in summer."
can international students take part in summer internships?,general_info,"Yes, they can, depending on visa permissions and internship availability."
do i need a student id for summer semester?,general_info,"Yes, the student ID is valid throughout summer and needed for campus services."
can i use university wi-fi during the summer semester?,general_info,"Yes, your university Wi-Fi credentials work year-round."
is there academic probation for poor summer performance?,general_info,"Yes, poor performance in summer may contribute to academic probation."
will faculty be available for office hours during summer?,general_info,"Yes, but timings may vary; confirm with your individual instructors."
can i complete incomplete grades in summer semester?,general_info,"Yes, summer is a good time to complete any pending coursework or grades."
does the university help in arranging summer internships?,general_info,"Yes, many universities have career centers that help connect students with internships."
how do i file a complaint against faculty or staff?,general_info,Visit the dean's office or use the online complaint form.
is attendance mandatory for summer courses?,general_info,"Yes, attendance policies apply even during the summer semester."
how can i get a duplicate student id card?,general_info,Visit the student affairs office and submit a duplicate ID request form.
what is the policy on mobile phone usage in class?,general_info,Phones must be silenced and not used unless permitted by the instructor.
can i record lectures with permission?,general_info,"Yes, but always ask instructor before recording."
what’s the makeup class attendance policy?,general_info,Attendance is compulsory in makeup classes.
can i use open wifi on campus?,general_info,University WiFi is password-protected; guest logins available.
where to get project approval stamp?,general_info,Get from your department’s coordinator office.
are there back-to-school deals?,general_info,20% off bundles in August/September
is there a meal plan for athletes?,general_info,"Yes, subsidized meal plans available through sports department."
is breakfast available in all cafeterias?,general_info,"Yes, served 7:30–10:30 AM in all cafeterias."
what’s the validity of student id?,general_info,Valid for duration of program + 6 months grace.
where are departmental notice boards located?,general_info,Outside each department office or LMS announcements.
can i submit handwritten reports?,general_info,Typed reports are required unless hand-written approved.
can i file complaint about unfair grading?,general_info,File complaint with course coordinator first.
where to apply for research conference grant?,general_info,Apply through Research Office 30 days before event.
are there braille books in library?,general_info,"Yes, located in Special Resource Section."
do we have access to scopus database?,general_info,"Yes, available through digital library login."
where do i report campus damage or graffiti?,general_info,Use mobile app or report to Facilities Office.
are there medical facilities on campus?,general_info,"Yes, there's a health unit beside the student affairs block."
can i bring bicycle to university?,general_info,"Yes, bike racks are available at all main gates."
do we get holidays for religious festivals?,general_info,"Yes, as per government academic calendar."
can i request a personal locker?,general_info,"Yes, apply through campus services with a refundable deposit."
where can i submit a correction in attendance?,general_info,Report to course instructor within 3 working days.
how do i get permission for out-of-campus visit?,general_info,Get approval form signed by advisor and department chair.
can i work on campus as part-time student?,general_info,"Yes, limited jobs available under student employment scheme."
can i take 2 majors simultaneously?,general_info,Only allowed with CGPA above 3.5 and department approval.
is there a designated prayer room?,general_info,On every floor of academic blocks and near cafeterias.
can i use chatgpt for assignments?,general_info,Allowed only if permitted by course instructor.
do we have a student innovation fund?,general_info,"Yes, submit proposal to Incubation Center for funding."
are resumes reviewed at career center?,general_info,CV review service available every Tuesday–Thursday.
where do i collect graduation gown?,general_info,Collect from Student Affairs a week before convocation.
how can i join the debate society?,general_info,Sign up during the co-curricular drive or visit the society desk in Block D.
do we get study break before finals?,general_info,A one-week reading break is given before final exams.
where can i view campus rules?,general_info,Available in Student Handbook on university website.
can i book auditorium for student club events?,general_info,"Yes, submit a booking form via the Events Office."
can i eat in lecture rooms?,general_info,No eating allowed during class hours.
can i perform research under a faculty?,general_info,"Yes, speak to your department faculty for openings."
how do i update my contact information?,general_info,"Update your info through the student portal under ""My Profile""."
how do i register my startup idea?,general_info,Submit pitch deck to Incubation Center online portal.
is the summer semester mandatory for all students?,general_info,"No, the summer semester is optional and mainly for improvement or fast-tracking studies."
are summer semester courses shorter in duration?,general_info,"Yes, summer courses are condensed and often last 6 to 8 weeks."
what is the minimum attendance required to sit in final exams?,general_info,A minimum of 75% attendance is required to appear in final exams.
how can i access past exam papers?,general_info,Past papers are available in the library archives and LMS under course materials.
are summer courses offered for all departments?,general_info,"Availability varies, but most core subjects are offered; check with your department."
can i take elective subjects during the summer semester?,general_info,"Yes, elective courses are usually available in summer."
how do i register for improvement courses during summer?,general_info,Registration is typically done through the student portal or by contacting your academic advisor.
are classes in the summer semester held online or on campus?,general_info,"It depends on the university, but many offer hybrid or fully online classes."
can i drop a course in the summer semester after registration?,general_info,"Yes, but there's usually a deadline to drop a course without penalty."
are there remedial classes offered in the summer?,general_info,"Yes, some universities offer remedial or foundation classes during summer."
how are practical/lab subjects handled in summer semester?,general_info,Lab work is condensed or scheduled in blocks; some may use virtual simulations.
"can i take a subject in summer that i haven’t failed, just to improve my grade?",general_info,"Yes, improvement attempts are allowed even for passed subjects in many cases."
are there any academic counseling sessions before summer course registration?,general_info,"Yes, most universities provide academic advising before summer registration opens."
are foreign language classes offered in the summer semester?,general_info,Some universities offer language electives in summer. Check your course catalog.
will my summer grades affect my cgpa?,general_info,"Yes, summer grades are included in your CGPA calculation."
can i retake a failed subject in the summer semester?,general_info,"Yes, failed subjects can usually be retaken during the summer semester for grade improvement."
"how do i file a complaint about a professor?,",general_info,"To file a complaint, visit the Student Affairs Office and fill out a grievance form.,"
how do i apply for a bonafide certificate?,general_info,Submit a request at student affairs along with your enrollment proof.
is there a helpline for tech issues?,general_info,"Yes, call 111-123-456 ext. 4 or email helpdesk@university.edu.pk."
can students enter via staff gate?,general_info,Only in emergencies with security approval.
where can i get id strap replaced?,general_info,Available at Student Store for PKR 100.
can i submit digital signatures on forms?,general_info,Accepted for most applications except transcripts.
can i freeze my semester?,general_info,"Yes, apply with a valid reason before midterm exams begin."
what is the university policy on plagiarism?,general_info,Plagiarism is strictly prohibited and can lead to course failure or expulsion.
"where can i get a duplicate student id card?,",general_info,"You can request a duplicate student ID card at the Student Affairs Office.,"
"what is the grading criteria for final year projects?,",general_info,"Final year projects are graded on innovation, execution, documentation, and presentation.,"
"where is the it services office located?,",general_info,"The IT Services office is located in Block C, Room 108.,"
"how can i change my major?,",general_info,"You can change your major by submitting a request through your academic advisor and getting departmental approval.,"
"are attendance records shared with parents?,",general_info,"No, attendance records are not automatically shared unless authorized by the student.,"
can i change my major after first semester?,general_info,"Yes, with advisor approval and based on seat availability."
"is there a helpline for mental health support?,",general_info,"Yes, the university provides a 24/7 mental health support helpline at 1800-UNI-HELP.,"
"where do i submit my internship evaluation form?,",general_info,"Submit your internship evaluation form to the Career Services Office.,"
"are part-time jobs available on campus?,",general_info,"Yes, part-time job opportunities are occasionally posted on the student portal.,"
is there a gpa requirement for society presidents?,general_info,"Yes, must have CGPA 3.0 or above."
do you sell fountain pens?,general_info,Limited selection starting at $20
can i check menu online?,general_info,Full menus on university dining website
what's the policy on emotional support animals?,general_info,Approval required from Disability Services and Housing.
are there grants for studying endangered languages?,general_info,Apply through Linguistics Department by April 15.
can i take a fire safety certification course?,general_info,Monthly workshops at Safety Office (counts for credit).
how do i report a food allergy to dining services?,general_info,Submit medical documentation to Dining Hall manager.
are there braille textbooks available?,general_info,Request through Disability Services 3 months before term.
can i access the underwater robotics lab?,general_info,Open to engineering majors or by special permission.
what's the policy on fidget toys in exams?,general_info,Silent fidget devices allowed with prior approval.
are there showers for commuter students?,general_info,Available in Gym locker rooms with ID card access.
can i request an early result transcript?,general_info,"Yes, with an express fee you can receive it in 5 working days."
can i get a discounted public transit pass?,general_info,50% discount available at Transport Office in September.
how many electives can i choose in final year?,general_info,Most programs allow 2–3 electives in the final year.
how do i join the campus search-and-rescue team?,general_info,Mandatory training every August; apply at Safety Office.
are there whispering devices for hearing-impaired students?,general_info,Check out devices from Disability Services for lectures.
can i access the patent law clinic?,general_info,Open to STEM majors with faculty recommendation.
what's the return policy?,general_info,Unused items with receipt within 14 days
are there grants for documentary filmmaking?,general_info,Apply through Media Arts Department with proposal.
can i access the architecture model workshop?,general_info,Open studio hours posted weekly outside Room 405.
are there language conversation partners?,general_info,Sign up at International Center for weekly meetups.
what's the policy on electric blankets in dorms?,general_info,Allowed if UL-certified and registered with Housing.
can i get my bicycle repaired on campus?,general_info,Self-service repair stations behind the Student Union.
how do i access the telescope observatory?,general_info,Open nights every Thursday; sign up through Physics Department.
can i change my subject section after add/drop?,general_info,Changes are only possible within the first 2 weeks of classes.
can i bring my gaming console to dorms?,general_info,Allowed if registered with Housing to avoid WiFi conflicts.
what's the policy on hoverboards?,general_info,Banned indoors; may be used outdoors at under 10mph.
how do i report a broken vending machine?,general_info,Email vending@uni.edu with machine location and issue details.
are there usb charging ports in lecture halls?,general_info,Available in all halls renovated after 2020; check campus map.
can i get certified in cpr through the university?,general_info,Red Cross courses offered monthly at Health Center ($20 fee).
can i use the blacksmithing forge?,general_info,Available to Art and Engineering students after training.
are there discounts for local museums?,general_info,Show student ID for 50% off at 12 partner institutions.
what's the policy on slacklining on campus?,general_info,Allowed only in designated areas with safety mats.
are there fax machines for student use?,general_info,Free outgoing faxes at Mail Center (limit 10 pages/day).
can i access the dental clinic?,general_info,Cleanings and emergencies covered for full-time students.
where is the student counseling office?,general_info,"It's in Block A, next to the medical unit."
how do i reserve a podcast studio?,general_info,Book through Media Department (max 4 hours/session).
are there typing tutors available?,general_info,Free software available on all library computers.
what happens if a class is missed by the teacher?,general_info,A makeup class will be rescheduled in consultation with students.
can i rent a projector for club events?,general_info,AV Services loans projectors for 48 hours with advisor approval.
what's the duration of the internship program?,general_info,"Internships usually span 6–8 weeks, depending on department policy."
how do i report a leaking ceiling in my dorm?,general_info,Use the FixIt app or call ext. 5555 for urgent issues.
can i access the cadaver lab as a biology student?,general_info,Junior/Senior BIO majors may apply for supervised access.
are there free bicycle helmets available?,general_info,Safety Office distributes free helmets in September.
can i access the stock trading simulation lab?,general_info,Open to Business majors weekdays 9am-5pm.
how do i report a broken emergency blue light?,general_info,Call Campus Security immediately at ext. 911.
what is the policy on course overload?,general_info,Overload is allowed for high-performing students with advisor approval.
what's the policy on failed elective courses?,general_info,You must repeat the elective or choose a different one.
can i take a bartending certification course?,general_info,Available through Hospitality Management program.
what's the policy on dorm room waterbeds?,general_info,Prohibited due to flood risk and weight limits.
are there free menstrual products on campus?,general_info,Available in all gender-neutral restrooms.
can i access the forensic anthropology lab?,general_info,Open to Anthro majors with professor supervision.
how do i report a suspicious person on campus?,general_info,Call Campus Security or use the SafeCampus app.
are there grants for lgbtq+ conference travel?,general_info,Diversity Office offers $750 travel stipends.
can i use the pottery kilns as a non-art major?,general_info,Open studio hours every Friday with monitor present.
what's the policy on dorm room bunk beds?,general_info,University-provided only; no homemade structures.
are there free naloxone training sessions?,general_info,Monthly workshops at Health Center; no cost.
how do i apply for campus change?,general_info,Submit a request form with reasons and get approvals from both campuses.
can i use the glassblowing studio?,general_info,Art majors only; mandatory safety training first.
are there grants for interfaith conference travel?,general_info,Apply through Chaplain's Office by November 1.
how do i access the crime statistics database?,general_info,Available through Campus Security public portal.
what's the minimum duration of an ms thesis?,general_info,An MS thesis must span at least 2 regular semesters.
what's the policy on hoverboard charging in dorms?,general_info,Only charge in designated battery-safe zones.
are there free legal clinics for tenants?,general_info,Law School offers monthly tenant rights workshops.
can i get certified in scuba diving through pe?,general_info,Summer course available (extra $200 equipment fee).
are there emergency loaner laptops?,general_info,Check out for 72 hours from IT Services with deposit.
can i take a wilderness first aid course?,general_info,Offered each semester through Outdoor Recreation.
are there grants for attending hackathons?,general_info,CS Department reimburses up to $300 with receipts.
can i access the automotive repair workshop?,general_info,Available to Engineering students and car club members.
are there coin counters for laundry change?,general_info,Available at all hostel reception desks.
what's the policy on dorm room aquariums?,general_info,Allowed up to 10 gallons with prior registration.
how do i report a broken water fountain?,general_info,Submit work order via Facilities website or app.
are there grants for attending model un?,general_info,Political Science Dept offers $500 travel grants.
can i do a minor in another department?,general_info,"Yes, after departmental approval and CGPA requirement fulfillment."
can i access the particle physics simulator?,general_info,Reserve through Physics Department for thesis work.
what's the policy on dorm room lofts?,general_info,University-built lofts only; no homemade structures.
are there free resume paper for interviews?,general_info,Career Center provides 10 sheets/student/semester.
can i take a mixology class as a chemistry elective?,general_info,Approved for Chem majors as special topics course.
can i get my drone pilot license through the university?,general_info,Aviation Department offers Part 107 test prep.
can i access the wind tunnel for my project?,general_info,Engineering students may reserve 2-hour slots.
can i use the woodshop as an arts student?,general_info,Open to all students after completing safety training.
how do i join the emergency response team?,general_info,Complete CERT training offered each semester through Safety Office.
are minors printed on final degrees?,general_info,"Yes, if completed as per curriculum guidelines."
can i request for a reference letter?,general_info,"Yes, from instructors who taught you — submit a request."
what is the maximum semester break allowed?,general_info,One year (two semesters) is the maximum allowed gap.
how do i contact the vice chancellor?,general_info,You may write an official email or submit a letter to VC’s office.
are there any special programs for high achievers?,general_info,"Yes, includes scholarships, internships, and mentoring."
are there any wi-fi zones on campus?,general_info,"Yes, Wi-Fi is accessible in all academic and hostel blocks."
is attendance marked for lab sessions?,general_info,"Yes, lab attendance is compulsory and separate from theory class."
what is lms?,general_info,LMS is the Learning Management System for all academic activity.
is biometric attendance used?,general_info,"Yes, in selected departments with digital systems."
what happens if i miss a workshop?,general_info,You may miss the certificate; check with organizers.
can i apply after the deadline with a late fee?,general_info,"Late applications may be accepted with a 25% fee penalty, subject to program availability."
how do i track my mailed application documents?,general_info,You can track documents using the reference number provided by the courier service.
what happens if i miss a midterm exam?,general_info,You must provide medical or emergency proof to request a retake.
how do i register for independent study courses?,general_info,Submit a proposal to your department head with faculty sponsorship 4 weeks before semester start.
where can i collect my degree after graduation?,general_info,From the registrar's office after clearance process is complete.
can i get a health fitness certificate from campus clinic?,general_info,"Yes, after basic checkup at the campus health unit."
what is the requirement for dean's list?,general_info,CGPA of 3.7+ with full course load and no failures.
what should i do if lms shows wrong grades?,general_info,Email the course instructor immediately with screenshot proof.
can i change elective courses mid-semester?,general_info,Only during add/drop week; not after midterms.
can i join more than one student club?,general_info,"Yes, students are allowed to join multiple societies if time allows."
can i register for a course from another batch?,general_info,"Yes, if seats are available and pre-requisites are met."
is the semester calendar shared online?,general_info,"Yes, it's available under ""Academic Calendar"" on the website."
is attendance compulsory for workshops?,general_info,"Yes, attendance is required to receive workshop certificate."
are there any student discount cards?,general_info,Apply for the official student ID to avail partner discounts.
what is the process for applying to the student council?,general_info,Submit a nomination form during election notice period.
what are the rules for class presentations?,general_info,"Slides must be prepared, and team members must equally participate."
what is the summer semester grading system?,general_info,Summer courses use the same A-F grading scale but are accelerated over 8 weeks.
how are final grades calculated?,general_info,"Final grades combine sessionals, midterms, finals, and attendance."
what is the process to withdraw from the university?,general_info,Fill and submit the withdrawal form with departmental clearance.
how do i sign up for university newsletters?,general_info,"Visit the university website and register under ""Stay Updated""."
are lecture slides shared by default?,general_info,Depends on instructor; usually uploaded on LMS after class.
can i meet the head of department without appointment?,general_info,Walk-ins are discouraged; book a slot via email or office.
how do i report academic harassment?,general_info,Contact the Gender Equity Cell or email safe@university.edu.pk.
what is plagiarism percentage limit?,general_info,Less than 20% is considered acceptable.
where do i submit final year project report?,general_info,Submit to FYP Coordinator in your department office.
where can i learn about student exchange programs?,general_info,Contact the International Office in Block B for details.
are there grants for student startups?,general_info,Apply to Innovation Hub with business plan by March 1 annually.
are there field trips organized by departments?,general_info,"Yes, arranged with prior approvals during active semesters."
how do i reset my campus wi-fi password?,general_info,Visit IT services with your ID or use the self-service portal with registered mobile.
are there charging stations for e-scooters?,general_info,Solar-powered stations are located near Gates 2 and 4.
how do i request a transcript hold?,general_info,Submit a hold request to Registrar with valid academic/financial reason.
can i get an official letter for visa extension?,general_info,International Office issues visa support letters within 3 working days.
is there a help desk for new students?,general_info,"Yes, located near Gate 1 during orientation week."
where can i donate used textbooks?,general_info,Drop boxes are located outside the Bookstore year-round.
how do i appeal a disciplinary decision?,general_info,Submit written appeal to Student Conduct Board within 14 days.
can i access bloomberg terminal on campus?,general_info,The Business Lab has 6 terminals available by reservation.
what's the policy on drone usage?,general_info,Drones may only fly in designated areas with Security Office approval.
are there sewing machines for student use?,general_info,The Fashion Department loans machines for 4-hour slots.
what's the format for submitting a thesis?,general_info,Use APA or IEEE format depending on your department guidelines.
can i rent a bike for campus commuting?,general_info,Daily rentals ($3) are available at the Sports Complex.
how do i report a broken elevator?,general_info,Call Facilities at ext. 5555 or use the Maintenance Request app.
what's the policy on class recordings?,general_info,Instructor consent required; sharing recordings is prohibited.
are there quiet study zones in the library?,general_info,Floors 3-5 are designated silent study areas 24/7.
can i access the campus farm produce?,general_info,Free seasonal vegetables are distributed every Friday at the Farm Stand.
what's the policy on political posters?,general_info,Approved posters may be hung only on designated bulletin boards.
can i bring guests to the swimming pool?,general_info,Guests pay $5/day and must be signed in by current students.
are there microwaves in lecture buildings?,general_info,"Microwaves are available in student lounges of Blocks A, C, and E."
are debates conducted in english only?,general_info,"Most official debates are in English, but bilingual events are also held."
what software is free for engineering students?,general_info,"AutoCAD, MATLAB, and SolidWorks are available through the engineering lab licenses."
can i use cloud storage for assignments?,general_info,Only university-provided OneDrive (5TB) is approved for academic work.
how do i report phishing emails?,general_info,Forward suspicious emails to cybersecurity@uni.edu with headers intact.
are smartwatches allowed during exams?,general_info,All wearable tech must be surrendered to invigilators before exams.
where can i get notary services on campus?,general_info,The legal aid office in Admin Block provides free notarization twice weekly.
how do i access the food bank program?,general_info,Present your student ID at the Wellness Center during operating hours.
what's the process for locker rentals?,general_info,Lockers are assigned first-come basis at the sports complex for $10/semester.
are digital calculators permitted in statistics exams?,general_info,Only university-approved non-programmable calculators are allowed.
how do i join the campus ride-share program?,general_info,Register your vehicle at Transport Office to access the carpool matching system.
how do i access the campus crisis hotline?,general_info,Dial 911 from campus phones or 555-HELP from mobiles for 24/7 support.
are there grants for conference travel?,general_info,Apply through Research Office with abstract and budget 8 weeks before event.
can i copyright my thesis through the university?,general_info,The library offers free copyright filing for published theses.
what's the penalty for fake sick notes?,general_info,Forging medical documents is grounds for suspension or expulsion.
where is the lost jewelry held?,general_info,High-value items are kept at Security Office for 90 days.
how do i report a noisy roommate?,general_info,Submit a mediation request to Housing Services within 48 hours of incident.
can i film lectures for personal use?,general_info,Personal recordings require signed consent from instructor and classmates.
what's the policy on service animals in labs?,general_info,Approved service animals are permitted except in high-risk lab areas.
how do i report a broken wheelchair ramp?,general_info,Email accessibility@uni.edu with location details.
is there a capstone project in final year?,general_info,"Yes, most programs include a final year project with two semesters."
can i access the animal behavior observation lab?,general_info,"Yes, you can access the animal behavior observation lab if you are enrolled in a relevant program. Check with the department for access.,"
is the cafeteria wheelchair accessible?,general_info,"Yes, with priority seating and ramps"
what's the breakfast menu like?,general_info,"Daily options: eggs, pancakes, oatmeal, fruit (6-10 AM)"
are there halal food options?,general_info,Halal station available Monday-Friday
is outside food permitted?,general_info,Only with medical/religious documentation
can i get a refund for bad food?,general_info,Speak to manager for replacement/refund
are there grants for women in stem conferences?,general_info,Medical School offers 10 travel grants annually.
how do i report food allergies?,general_info,Submit form to Dining Services or speak to chef
are there cooking demonstrations?,general_info,Monthly events - schedule online
is there a breakfast meal deal?,general_info,$4.50 before 8 AM (entree+coffee+fruit)
are there microwaves for student use?,general_info,4 microwaves available near beverage station
do you offer vegetarian options?,general_info,3+ vegetarian dishes available daily
are meal plans available?,general_info,"Yes, plans start at $300/semester (10 meals/week)"
are there sugar-free drink options?,general_info,"Diet sodas, unsweetened tea available"
can i get takeaway containers?,general_info,Biodegradable containers available for $0.50
can i access online classes on mobile?,general_info,"Yes, LMS is mobile-friendly and accessible on most devices."
how are internal marks calculated?,general_info,"Internal marks include quizzes, assignments, class participation, and sessionals."
what are the cafeteria operating hours?,general_info,"Open 7:30 AM - 8:00 PM weekdays, 9 AM - 5 PM weekends"
are there grants for rural healthcare projects?,general_info,"Yes, there are grants available for rural healthcare projects. Check with the financial aid office for more information.,"
how do i report a broken lactation room fridge?,general_info,"Report a broken lactation room fridge to campus facilities or through the online maintenance portal.,"
can i access the geospatial analysis lab?,general_info,"Yes, you can access the geospatial analysis lab if you are enrolled in a relevant program. Check with the department for access.,"
how do i submit medical leave documents?,general_info,Submit documents at student affairs or upload via portal.
can i use meal swipes for guests?,general_info,5 guest passes/semester
are there free interview suit rentals?,general_info,"Yes, free interview suit rentals are available through the career services office.,"
what's the policy on dorm room terrariums?,general_info,"Yes, dorm room terrariums are generally allowed but must meet safety and space requirements. Check with your dorm for rules.,"
can i use the blacksmithing tools for art projects?,general_info,"Yes, blacksmithing tools can be used for art projects with prior approval from the department. Check with them for access.,"
are there grants for first responders' education?,general_info,"Yes, there are grants for first responders' education. Check with the financial aid office for more information.,"
how do i report a broken accessible shower?,general_info,"Report a broken accessible shower to campus facilities or through the online maintenance request portal.,"
is there a quiet eating area?,general_info,North section marked as low-noise area
where is the main cafeteria located?,general_info,Ground floor of Student Union Building (Block D)
are there vegan options daily?,general_info,2 dedicated vegan dishes at lunch/dinner
are there nutrition facts available?,general_info,Posted at each station and online
can i work part-time at the cafeteria?,general_info,Apply at Student Employment Office
what are the busiest hours?,general_info,"11:30 AM–1:30 PM lunch, 5–7 PM dinner"
are there gluten-free options?,general_info,Dedicated gluten-free station with labeling
what is the university's policy on ragging?,general_info,Ragging is strictly banned and punishable by expulsion.
can i get food to-go?,general_info,All meals available for takeout
are there microwaves in the cafeterias?,general_info,Available in all dining halls
how do i apply for meal plan waivers?,general_info,Submit documentation to Student Services
is there outdoor seating?,general_info,Patio seating for 50 (weather permitting)
are there recycling bins available?,general_info,Color-coded bins throughout facility
are there discounts for seniors?,general_info,15% off for visitors 65+ with ID
can i bring my own reusable cup?,general_info,"Yes, 10% discount on beverages"
are plastic utensils provided?,general_info,Compostable cutlery available at all stations
is there a salad bar?,general_info,Build-your-own salad station ($3.50 base price)
how long is a regular class period?,general_info,Each class is typically 1 hour and 30 minutes long.
where is the it support center?,general_info,"Located in Block C, Room 203 beside the networking lab."
can i suggest menu items?,general_info,Submit ideas via dining services website
are there seasonal specials?,general_info,Holiday/themed meals announced monthly
how often does the menu change?,general_info,"Main dishes rotate weekly, sides daily"
are there combo meal deals?,general_info,$6.50 for entree+side+drink
what is the lms helpline number?,general_info,Call 111-123-456 ext. 5 or email lms@university.edu.pk.
is filtered water available?,general_info,5 hydration stations throughout cafeteria
is there a soup station?,general_info,3 daily soups (1 vegetarian)
can parents access student academic records?,general_info,"No, only students have direct access unless written consent is given."
are there kid-friendly meal options?,general_info,Child portions available upon request
can i reserve seating for groups?,general_info,Groups of 8+ can reserve 24h in advance
what's the lunch special today?,general_info,Check digital boards or university dining app
are there desserts available?,general_info,Daily rotating selection ($1.50–4.00)
are there charging ports near tables?,general_info,USB/outlets at 50% of tables
how do i get a bus pass?,general_info,Apply at the transport department with a passport-size photo.
is there a lost and found for items?,general_info,Check with Security Desk in Student Union
are there free financial literacy workshops?,general_info,"Yes, free financial literacy workshops are available through the student services office.,"
can i change my registered email?,general_info,Visit the student affairs office with CNIC copy to request a change.
what is the dress code for lab classes?,general_info,Lab coats and closed shoes are mandatory in science labs.
are there free speech-to-text transcription services?,general_info,"Yes, free speech-to-text transcription services are available for students with disabilities through the disability services office.,"
how do i apply for a cnic-based discount?,general_info,Upload CNIC proof in the finance portal under 'Fee Concessions'.
can i access the mass spectrometer for my research?,general_info,"Yes, the mass spectrometer can be accessed by students involved in relevant research. Contact the lab coordinator for access.,"
how do i report a title ix violation anonymously?,general_info,"You can report a Title IX violation anonymously through the university's online portal or student affairs office.,"
are there grants for first-generation students?,general_info,"Yes, the university offers grants and scholarships for first-generation students. Check the financial aid office for more information.,"
can i take a drone photography course?,general_info,"Yes, a drone photography course may be available for credit through the media or photography department. Check with them.,"
are sketchbooks available?,general_info,A4–A3 sketchbooks ($3–12)
what's the policy on dorm room halogen heaters?,general_info,"Halogen heaters are generally not allowed in dorm rooms due to fire risks. Check with your dorm for specific policies.,"
can i use the black box theater for my project?,general_info,"Yes, the black box theater can be reserved for student projects. You need to submit a request through the campus booking system.,"
how do i activate my university email account?,general_info,Use the activation link sent to your registered number or email.
how do i apply for industrial visits?,general_info,Submit a request through your department coordinator.
are there grants for sustainable agriculture projects?,general_info,"Yes, the university provides grants for sustainable agriculture projects. Check with the sustainability office for more details.,"
how do i report a broken water bottle filler?,general_info,"Report a broken water bottle filler to campus facilities through the online maintenance request form.,"
is there a special quota for disabled students?,general_info,"Yes, a specific admission quota is reserved for students with disabilities."
can i access the virtual reality development lab?,general_info,"Yes, you can access the virtual reality development lab if you are part of a relevant course or project. Check with the department.,"
what's the policy on dorm room lava lamps?,general_info,"Lava lamps are generally allowed in dorm rooms, but check with your dorm's specific policies for any restrictions.,"
can i use the recording studio for my podcast?,general_info,"Yes, the recording studio can be used for podcasts. You need to reserve it through the campus media department.,"
are there grants for indigenous students' research?,general_info,"Yes, there are grants available for indigenous students' research projects. Check with the financial aid office for more information.,"
how do i report a broken accessible door opener?,general_info,"Report a broken accessible door opener by submitting a request to campus facilities or via the online maintenance portal.,"
can i access lms after graduation?,general_info,LMS access is deactivated 1 month after graduation.
do you sell calculators?,general_info,Scientific & graphing models ($15–120)
how long does it take to receive a degree?,general_info,Degrees are issued within 2–3 months after final clearance.
are there free bus tickets for low-income students?,general_info,"Yes, students who meet the qualifications can receive free bus tickets. Visit the student transportation office for more details.,"
what's the policy on dorm room tapestries?,general_info,"Tapestries may be allowed in dorm rooms, but they cannot block fire exits or be hung near heat sources.,"
are there grants for disability advocacy travel?,general_info,"Yes, there are grants available for disability advocacy-related travel. Check with the university's disability services office.,"
how do i report a broken elevator in the library?,general_info,"Report a broken elevator in the library to campus facilities or via the online maintenance request system.,"
can i access the augmented reality lab?,general_info,"Yes, you can access the augmented reality lab if you are enrolled in relevant courses or have prior approval from the department.,"
are there free nutrition counseling sessions?,general_info,"Yes, the university offers free nutrition counseling sessions through the student health center.,"
are there free flu shots for international students?,general_info,"Yes, the university offers free flu shots to all students, including international students, through the health services office.,"
are there grants for refugee student initiatives?,general_info,"Yes, there are grants available for refugee student initiatives. Check with the financial aid office for details.,"
how do i request character certificate?,general_info,Apply through the student portal or visit the registrar office.
